,-1085.6939503914625,99.6339008875917
2007/08/06/morning,-108.97354054949987,15.27114149978081
2007/08/06/afternoon,-253.38656951366232,-353.9176462515542
2007/08/07/morning,16.651321741332595,-30.899271383298114
2007/08/07/afternoon,-343.2793658074804,-268.4979080905069
2007/08/08/morning,-176.38523959791198,-248.3782071808941
2007/08/08/afternoon,-367.83563639931054,-510.7128853625403
2007/08/09/morning,-538.1157046419629,-615.1902115588547
2007/08/09/afternoon,-1260.4675213829528,-718.224377564731
2007/08/10/morning,-260.3159801664759,-188.2494415021629
2007/08/10/afternoon,-194.31131152919113,-280.72039368322584
2007/08/13/morning,-199.30340547616575,-256.919784044103
2007/08/13/afternoon,-480.52212089105353,-292.6097164334688
2007/08/14/morning,-432.09290017798764,-320.39821411334356
2007/08/14/afternoon,-547.974904268179,-806.6476771209868
2007/08/15/morning,30.204379742459196,-259.2173055934291
2007/08/15/afternoon,15.680001439512125,-92.35586854360454
2007/08/16/morning,10.31070676832357,-49.43960691239047
2007/08/16/afternoon,-86.83819621563693,-108.98483759032364
2007/08/17/morning,11.927468921695754,-55.72822387707002
2007/08/17/afternoon,8.49577840634623,-40.672632335737916
2007/08/20/morning,-86.28693355042128,18.17596750987899
2007/08/20/afternoon,19.638606224789367,-107.7894314797919
2007/08/21/morning,-43.85366713490786,14.645328952911882
2007/08/21/afternoon,13.04581488220094,-83.43801200653346
2007/08/22/morning,-161.47185956266347,-226.2367786884622
2007/08/22/afternoon,-214.0853394009273,-281.7854819854326
2007/08/23/morning,-187.26025512432943,-354.3479777602901
2007/08/23/afternoon,-229.39532713927085,-556.3973949402189
2007/08/24/morning,-581.3201572540318,-234.4441940139547
2007/08/24/afternoon,-504.59883757276526,-425.9137248855145
2007/08/27/morning,28.503706583870326,-286.51847442666883
2007/08/27/afternoon,22.519623169068836,-211.4379423363184
2007/08/28/morning,40.98142935956491,19.105385823090728
2007/08/28/afternoon,-565.350182848746,-538.6979599287375
2007/08/29/morning,-266.772054819874,39.21443566697261
2007/08/29/afternoon,-128.40038872731148,30.762286954721844
2007/08/30/morning,27.005710998316996,-201.96449532109446
2007/08/30/afternoon,24.82485884228383,-183.4928711461442
2007/08/31/morning,-343.06066378992256,-607.815628902766
