,243.00007418257817,116.86798962260964
2007/07/04/afternoon,181.52918913976103,346.51459584062866
2007/07/05/morning,Infinity,Infinity
2007/07/05/afternoon,Infinity,Infinity
2007/07/06/morning,Infinity,Infinity
2007/07/06/afternoon,Infinity,Infinity
2007/07/09/morning,4663.158843216703,126618.41210649266
2007/07/09/afternoon,243.30072617658925,209.17881882671517
2007/07/10/morning,63.15738208051776,203.59367508827347
2007/07/10/afternoon,1547.910299406429,652.806108131121
2007/07/11/morning,42.47628748390834,106.59502045569133
2007/07/11/afternoon,228.11542112242458,74.39463431109576
2007/07/12/morning,328.69300741178057,80.88495140854427
2007/07/12/afternoon,Infinity,Infinity
2007/07/13/morning,Infinity,Infinity
2007/07/13/afternoon,114.43728014371264,119.69674982087801
2007/07/17/morning,54.60886514048798,207.2238526804748
2007/07/17/afternoon,269.598675579387,171.55594312764825
2007/07/18/morning,Infinity,Infinity
2007/07/18/afternoon,114.29304217160166,79.98969718325819
2007/07/19/morning,93.2644458835448,231.67537019972184
2007/07/19/afternoon,300.08037432157755,61.8361620222225
2007/07/20/morning,226.39872223402193,32.35965627920524
2007/07/20/afternoon,170.3900946923294,283.63974521110924
2007/07/23/morning,38.582776897898455,134.9166982833309
2007/07/23/afternoon,212.7874260945113,188.87519600819138
2007/07/24/morning,31.44097139064031,120.99903058839834
2007/07/24/afternoon,9854.680359028273,144609.72163412522
2007/07/25/morning,53.762042462404764,45.91118160708738
2007/07/25/afternoon,145.65320948601436,50.327548263838885
2007/07/26/morning,81.67269902753004,70.64821261929434
2007/07/26/afternoon,36.39807808829393,95.3983353122626
2007/07/27/morning,48.98906826617022,25.08851198977487
2007/07/27/afternoon,33.51111111397946,39.74527057036124
2007/07/30/morning,52.4912587831568,28.225251238409683
2007/07/30/afternoon,116.61827362747442,21.256980003900914
2007/07/31/morning,34.86544278179824,92.6371293209207
2007/07/31/afternoon,78.25691623041287,88.49052459671641
2007/08/01/morning,23.805459027849604,40.843130564173386
2007/08/01/afternoon,12.592543949918241,51.93434077570373
2007/08/02/morning,39.37012167750113,26.52330398277438
2007/08/02/afternoon,28.23765485234346,13.66897497168187
2007/08/03/morning,36.38467176681754,46.827976499639064
2007/08/03/afternoon,28.481182069360905,40.84375587710466
2007/08/06/morning,54.44184921540108,16.966379500453318
2007/08/06/afternoon,39.44895359822833,26.245284895159937
2007/08/07/morning,19.358994281803625,56.28673521221654
2007/08/07/afternoon,32.99629300293392,33.649823290831414
2007/08/08/morning,27.528123539275132,25.78357753676189
2007/08/08/afternoon,54.043139096234114,42.54252336566636
2007/08/09/morning,38.83989720240165,34.229329285892604
2007/08/09/afternoon,48.09042534050206,73.87559705764252
2007/08/10/morning,28.516208071010304,34.29544278430082
2007/08/10/afternoon,37.138243128129936,30.160274006365864
2007/08/13/morning,30.78766424444229,24.751597033003986
2007/08/13/afternoon,38.95273488712643,51.92102156994796
2007/08/14/morning,31.727608386437446,40.56517056339274
2007/08/14/afternoon,73.73433998687204,54.87042537686821
2007/08/15/morning,36.822750294634446,98.66503258862802
2007/08/15/afternoon,19.123207944686165,70.41084006435283
2007/08/16/morning,12.865004065329014,24.543727757531336
2007/08/16/afternoon,18.210012177373383,14.428854466292856
2007/08/17/morning,12.656474912503931,20.567110385766938
2007/08/17/afternoon,8.98395813749909,14.140715156668122
2007/08/20/morning,27.3973919311996,18.3938747973333
2007/08/20/afternoon,20.127408770967165,26.549861792777044
2007/08/21/morning,34.35473234563771,17.019242735444706
2007/08/21/afternoon,13.664280120919004,29.913509529322894
2007/08/22/morning,31.45874487587631,21.603521934088754
2007/08/22/afternoon,39.94381534465658,28.6870641888744
2007/08/23/morning,29.188514282238856,30.226286270870094
2007/08/23/afternoon,42.728573647350004,38.33097072128573
2007/08/24/morning,30.63172183083034,41.692797816396705
2007/08/24/afternoon,50.565388533425484,39.54910626390307
2007/08/27/morning,33.51054302814981,56.049830581057904
2007/08/27/afternoon,26.488989764222215,51.34204546383692
2007/08/28/morning,99.39902457455935,22.16074873937154
2007/08/28/afternoon,55.9152424131947,57.677955214788206
2007/08/29/morning,42.717239597748076,40.26675737313434
2007/08/29/afternoon,78.24921466891426,32.37240989551275
2007/08/30/morning,27.98865122871736,48.39673795374921
2007/08/30/afternoon,25.784447481022077,47.43040301588235
2007/08/31/morning,76.31723323503468,35.478271561487354
2007/08/31/afternoon,67.23151443289532,14.85457989490309
2007/09/03/morning,Infinity,Infinity
2007/09/03/afternoon,Infinity,Infinity
2007/09/04/morning,Infinity,Infinity
2007/09/04/afternoon,Infinity,Infinity
2007/09/05/morning,Infinity,Infinity
2007/09/05/afternoon,Infinity,Infinity
2007/09/06/morning,50.068659103662625,14.984471110764646
2007/09/06/afternoon,53.700341232218534,15.94792835567057
2007/09/07/morning,103.50866971874194,42.24512520687929
2007/09/07/afternoon,74.02780724236786,42.66921787204521
2007/09/10/morning,65.54462804993,38.54622968751805
2007/09/10/afternoon,64.92724566558392,64.55685959062193
2007/09/11/morning,54.78905308878333,38.921661942857554
2007/09/11/afternoon,54.52635719029664,29.998407277818135
2007/09/12/morning,Infinity,Infinity
2007/09/12/afternoon,23.369207402601575,37.93502738570372
2007/09/13/morning,41.37703249594507,67.1751601952028
2007/09/13/afternoon,45.18666098118043,67.9788965388397
2007/09/14/morning,55.30204573708804,26.03165283809628
2007/09/14/afternoon,32.14508364734404,28.775480804992572
2007/09/18/morning,15.480794178530884,32.171471760384875
2007/09/18/afternoon,32.76189133034937,37.344756089689675
2007/09/19/morning,43.7996995203326,30.695047329439284
2007/09/19/afternoon,79.06920702494234,28.84348604467574
2007/09/20/morning,17.755416014641533,32.586681442968526
2007/09/20/afternoon,76.36205997857437,32.11125765961535
2007/09/21/morning,44.3994757641399,19.97188343203826
2007/09/21/afternoon,36.569247302793165,42.509173946633
2007/09/25/morning,39.60397804460485,53.52299365572611
2007/09/25/afternoon,82.12805834947105,29.723123131743467
2007/09/26/morning,52.0383368692972,50.80631475827669
2007/09/26/afternoon,153.361731609028,59.317350439863105
2007/09/27/morning,152.90395880066455,35.38818515125785
2007/09/27/afternoon,111.11771851476317,24.551825055420732
2007/09/28/morning,14.811885837926313,76.94525427875178
2007/09/28/afternoon,26.41253547448841,64.12963957394999
2007/10/01/morning,83.5815120485828,46.28595158941303
2007/10/01/afternoon,40.5229233332808,37.74005428158804
2007/10/02/morning,29.287186641454355,42.60246084727118
2007/10/02/afternoon,91.85417933990703,43.868469019250966
2007/10/03/morning,45.59570467280814,70.3878322756921
2007/10/03/afternoon,87.82662050490558,36.13633503327062
2007/10/04/morning,49.616027559806525,26.192512726358714
2007/10/04/afternoon,41.33536140254935,68.6442354817611
2007/10/05/morning,77.64356198100693,58.94053183193588
2007/10/05/afternoon,103.44642240536288,51.332366401642616
2007/10/09/morning,107.23784868681366,52.831132147083956
2007/10/09/afternoon,63.892323224122485,93.51684985566546
2007/10/10/morning,76.8462263186804,51.71518031447703
2007/10/10/afternoon,62.08801999723632,108.89805629543429
2007/10/11/morning,94.73427991786653,69.61314184864774
2007/10/11/afternoon,75.3767136061565,21.371928456565705
2007/10/12/morning,41.28152702862509,108.94942058320538
2007/10/12/afternoon,29.380885474455507,75.29851655936382
2007/10/15/morning,66.37593803805069,230.45311544643425
2007/10/15/afternoon,78.218458436725,71.9905862474603
2007/10/16/morning,13.484354089664059,70.74519376047076
2007/10/16/afternoon,Infinity,Infinity
2007/10/17/morning,16.17709077120793,45.186538445541814
2007/10/17/afternoon,19.846622691890992,25.990664007916486
2007/10/18/morning,55.65502887885887,17.22777640284757
2007/10/18/afternoon,43.70979455717104,25.72681027776225
2007/10/19/morning,19.09656504867789,48.869960875569696
2007/10/19/afternoon,28.672793383344384,34.02608929332946
2007/10/22/morning,45.995794603851046,33.521621628506836
2007/10/22/afternoon,69.451888657969,31.790519432860798
2007/10/23/morning,75.09834179376669,58.77550146531438
2007/10/23/afternoon,55.48319437133439,126.27473520404105
2007/10/24/morning,101.14170467516364,33.151428027516275
2007/10/24/afternoon,33.538662944044276,58.34321786865081
2007/10/25/morning,29.760411384185552,37.42268421887823
2007/10/25/afternoon,24.102378265244866,40.535178167717135
2007/10/26/morning,45.92799573728749,42.07498306826729
2007/10/26/afternoon,62.75651589604653,23.500560449013392
2007/10/29/morning,54.0568193917672,33.83110210539814
2007/10/29/afternoon,33.29639369524879,107.18186194289538
2007/10/30/morning,57.63640462617352,115.90525978807901
2007/10/30/afternoon,57.697150549814864,56.98472821562849
2007/10/31/morning,45.04223717297366,46.392803507227455
2007/10/31/afternoon,68.08934216934199,33.24191142149423
2007/11/01/morning,73.45300420631193,48.915404983998805
2007/11/01/afternoon,70.36687278058845,49.861840322414444
2007/11/02/morning,42.306743260213466,29.31013395621453
2007/11/02/afternoon,29.30180179725136,76.90886038617418
2007/11/05/morning,36.8295015599713,75.89657649366012
2007/11/05/afternoon,55.08571491600981,57.53148018900896
2007/11/06/morning,68.60750821850749,24.764425917988365
2007/11/06/afternoon,41.75557307097178,94.07060427941123
2007/11/07/morning,57.92642606884923,115.57681894374255
2007/11/07/afternoon,21.64117220434131,63.62068492028164
2007/11/08/morning,28.011739851630253,48.797624507895954
2007/11/08/afternoon,29.6790028340889,43.164599507758325
2007/11/09/morning,14.987148558860499,42.679096160219444
2007/11/09/afternoon,19.360106626023907,36.71523366929331
2007/11/12/morning,26.777728335361054,25.511633771774964
2007/11/12/afternoon,30.731387903666537,20.821756423852257
2007/11/13/morning,21.461728773664124,26.916896384246005
2007/11/13/afternoon,15.04727899154841,26.22342604107675
2007/11/14/morning,38.044651567136526,25.817219544474995
2007/11/14/afternoon,117.59967802500042,39.28711558386719
2007/11/15/morning,48.59580959220293,69.41229996345638
2007/11/15/afternoon,22.91795509930441,83.82991437634553
2007/11/16/morning,19.006337813008216,34.459369930620674
2007/11/16/afternoon,58.03297821765214,30.565857508036164
2007/11/19/morning,23.875626689199372,26.288845738338928
2007/11/19/afternoon,23.304230037996202,43.23274872073922
2007/11/20/morning,23.123728414293037,33.70577293979719
2007/11/20/afternoon,917.0252778089985,5865.631211402515
2007/11/21/morning,17.313022473297174,34.357816019426714
2007/11/21/afternoon,16.438816649203112,26.17332291246503
2007/11/22/morning,18.484045578990933,10.941203630249401
2007/11/22/afternoon,26.747583834572865,19.464933442499532
2007/11/26/morning,64.7996379512839,22.344330515225476
2007/11/26/afternoon,45.506128642533035,27.67397084030179
2007/11/27/morning,29.435143608124463,34.07378463309562
2007/11/27/afternoon,17.76691998413055,23.828108704816437
2007/11/28/morning,28.910472572313566,41.26166732035621
2007/11/28/afternoon,40.978508661903334,31.39246275316662
2007/11/29/morning,40.740033022698654,32.90008185192669
2007/11/29/afternoon,63.14281540103118,50.42939038922083
2007/11/30/morning,82.7332246447171,40.84734795665144
2007/11/30/afternoon,37.807677726760765,80.58570117778936
2007/12/03/morning,Infinity,Infinity
2007/12/03/afternoon,139.86709876533564,55.60440939107423
2007/12/04/morning,Infinity,Infinity
2007/12/04/afternoon,Infinity,Infinity
2007/12/05/morning,57.16967394124782,124.49856135103428
2007/12/05/afternoon,Infinity,Infinity
2007/12/06/morning,47.41649496769021,54.96085954024956
2007/12/06/afternoon,Infinity,Infinity
2007/12/07/morning,45.43538510590869,50.620019964867595
2007/12/07/afternoon,Infinity,Infinity
2007/12/10/morning,Infinity,Infinity
2007/12/10/afternoon,Infinity,Infinity
2007/12/11/morning,84.3418724921147,135.60516770526132
2007/12/11/afternoon,73.88193493832591,102.53599431400283
2007/12/12/morning,63.31621893315312,93.4641566608615
2007/12/12/afternoon,Infinity,Infinity
2007/12/13/morning,48.97459637217945,109.03013149969297
2007/12/13/afternoon,Infinity,Infinity
